5861	n
318	v
679	n
2234	v
3381	n
4053	n
654	v
5481	n
4052	v
5497	n
1644	v
5063	n
675	n
1213	v
5523	v
1958	v
2436	n
382	n
4089	adj
1271	n
3388	v
1217	n
2418	v
1707	n
4132	v
3588	adv
3716	v
5084	n
2253	v
4090	adj
677	n
1641	n
2623	adv
686	v
1220	n
3129	n
2415	n
5030	v
2850	n
5865	adj
2219	n
5532	v
5052	n
3395	adj
401	adj
678	n
5103	v
2637	adj
3577	pron
5925	n
1697	n
1650	n
8	prep
3410	n
2855	v
357	v
5133	adv
5140	v
5567	n
4537	n
1334	adj
6004	n
5525	adj
5127	n
3568	adj
5141	v
4563	adj
1300	v
3462	n
727	v
1376	n
1373	n
2638	n
5180	n
3173	v
1364	adj
3738	adv
2889	n
2236	n
3757	pron
2475	v
741	n
3746	v
3448	v
2447	n
10	adj
767	v
4596	v
432	adj
1387	adj
2464	n
26	v
425	adj
2276	n
3765	v
2649	adj
2048	v
780	n
4533	v
3468	v
5591	v
1379	v
5203	adj
3167	v
4606	v
818	n
473	n
745	n
2461	n
4525	v
5961	n
3751	v
4189	n
5311	n
2073	n
2668	adj
5214	v
3742	v
4605	n
5963	adj
3181	n
39	n
1412	adj
5624	n
5601	n
1406	v
753	adj
837	v
1403	v
2283	v
5805	v
861	v
5795	adj
2986	n
3592	adj
3219	v
2296	v
4211	adj
879	v
79	n
1779	adj
5592	n
1800	adv
4552	n
1781	n
857	n
842	n
4620	v
1415	v
845	v
5681	v
5303	v
5301	v
2700	n
4591	n
4549	n
5629	n
85	v
1766	n
1780	n
462	v
1417	n
5307	v
4561	v
2486	n
4550	v
5596	adj
5261	n
853	adj
2050	adv
3799	n
907	adj
3764	n
2089	n
467	n
496	adj
2947	v
5271	n
3598	v
5969	n
2705	v
3023	adj
4705	adj
5297	n
1818	v
1803	v
910	v
2100	n
5300	n
3223	adj
173	adj
4662	v
4617	v
1501	v
3842	n
2479	v
4339	n
3036	adv
5332	v
1513	n
111	n
5972	v
2090	v
932	n
2083	adj
3860	v
830	v
4282	v
2510	n
4678	n
500	v
4683	n
4722	v
189	adj
2715	v
1829	n
5640	adj
4688	v
4647	adj
4690	n
860	n
2727	n
2953	n
541	n
3841	v
1017	n
5344	adj
4694	v
3030	v
1870	n
2330	v
4697	n
4667	n
200	n
3506	n
4292	v
221	v
954	n
557	v
1527	n
3250	adj
1835	n
3296	adj
117	n
5404	adj
2517	n
564	n
1542	v
4307	n
3527	v
540	n
1033	adj
5391	adj
5983	adj
4719	n
550	adj
3859	v
2345	n
3039	n
2132	n
5853	v
1858	adj
3545	adj
1847	v
3307	adj
4819	v
1883	v
4777	v
4413	n
3938	n
943	adv
1008	adj
2365	n
4804	n
2340	n
1016	adj
3654	prep
4317	n
3995	n
3886	n
4831	v
592	pron
4449	v
175	prep
538	adj
4840	v
3052	adv
4386	n
2552	v
3666	adj
3081	v
2145	v
1088	v
5845	n
2159	v
4399	adj
4790	adj
4798	n
5827	n
5459	prep
5874	adj
291	v
4335	adj
553	v
1023	adj
2147	n
181	adj
3942	v
600	n
4852	n
2560	n
4797	n
4825	v
4860	v
3915	n
4253	n
2175	v
3352	n
6001	n
1571	v
5733	n
562	n
1566	v
579	v
4866	adj
3947	n
4868	v
2343	v
1111	n
4820	v
1889	v
1572	v
4832	n
5653	prep
2906	n
5439	n
3335	n
1602	v
4373	n
3970	v
5467	v
4833	n
2573	n
5397	n
2787	v
580	v
4876	v
5650	v
2765	v
1575	n
1056	n
273	n
4376	v
5409	n
2544	adj
2908	n
5448	adj
2383	v
2590	v
218	v
3347	n
3316	v
2925	n
4896	n
4914	n
5987	adv
3983	v
1934	prep
5889	conj
598	n
1662	n
5887	n
3985	n
3697	adj
4942	v
2594	adj
4384	n
2349	n
5856	v
2800	n
3123	n
1149	adj
1253	v
2600	n
2239	adj
4392	adv
5476	v
3359	adj
635	adj
4946	adj
1603	adj
661	n
4267	v
3994	n
3100	n
320	v
3989	n
4978	pron
3356	adj
5751	v
3427	adj
4993	v
4405	v
2611	adj
2207	v
692	adj
5490	prep
3133	n
277	n
3362	adj
4969	adj
3555	v
647	n
2581	adj
2601	n
1937	v
1279	v
2403	n
4995	n
5474	v
5915	adj
1281	v
1955	n
3121	adj
1248	n
1218	n
5745	adj
5076	v
1951	adj
